Titre,Localisation,Prix,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,ABS,Airbags,CD/MP3/Bluetooth,Caméra de recul,Climatisation,ESP,Jantes aluminium,Limiteur de vitesse,Ordinateur de bord,Radar de recul,Régulateur de vitesse,Sièges cuir,Système de navigation/GPS,Toit ouvrant,Verrouillage centralisé à distance,Vitres électriques
kangoo dci,"Toute la ville, Had Soualem",78 000 DH,2010,Manuelle,Diesel,250 000 - 299 999,Renault,Kangoo,5.0,WW au Maroc,Non,6 CV,Excellent,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True
Peugeot 208 Diesel Manuelle 2023 à Fès,"Batha, Fès",170 000 DH,2023,Manuelle,Diesel,25 000 - 29 999,Peugeot,208,5.0,WW au Maroc,Non,5 CV,Neuf,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True
Peugeot 407,"Castilla, Tanger",62 000 DH,2005,Manuelle,Diesel,300 000 - 349 999,Peugeot,407,5.0,WW au Maroc,Non,8 CV,Très bon,True,True,True,True,True,False,True,False,False,True,False,False,False,False,True,True
Range Rover Evoque 2020,"Californie, Casablanca",435 000 DH,2020,Automatique,Diesel,15 000 - 19 999,Land Rover,Range Rover Evoque,5.0,WW au Maroc,Oui,8 CV,Excellent,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
citroen C4 2015,"Mghogha, Tanger",110 000 DH,2015,Manuelle,Diesel,180 000 - 189 999,Citroen,C4,5.0,WW au Maroc,Non,6 CV,Très bon,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
Hyundai Santa Fe Diesel Automatique 2020 à Temara,"Harhoura, Temara",310 000 DH,2020,Automatique,Diesel,60 000 - 64 999,Hyundai,Santa Fe,5.0,WW au Maroc,Oui,9 CV,Excellent,True,True,False,True,True,False,True,True,True,True,False,False,False,False,False,True
dacia,"Sidi Bernoussi, Casablanca",73 000 DH,2009,Manuelle,Diesel,15 000 - 19 999,Dacia,Sandero,5.0,Dédouanée,Non,6 CV,Très bon,True,False,True,True,True,False,True,False,False,False,False,True,False,False,True,True
Peugeot 208 Active Pack 1ere✋.2022,"Autre secteur, Fès",166 000 DH,2022,Manuelle,Diesel,5 000 - 9 999,Peugeot,208,5.0,WW au Maroc,Oui,7 CV,Excellent,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True
Kia Picanto,"Ain Sebaa, Casablanca",113 000 DH,2022,Manuelle,Essence,50 000 - 54 999,Kia,Picanto,5.0,WW au Maroc,Oui,6 CV,Excellent,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True
clio automatique,"Hay Nahda, Rabat",118 000 DH,2020,Automatique,Diesel,95 000 - 99 999,Renault,Clio,5.0,WW au Maroc,Non,6 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
Citroen C3,"Hay Nahda, Rabat",133 000 DH,2020,Manuelle,Diesel,95 000 - 99 999,Citroen,C3,5.0,WW au Maroc,Non,6 CV,Excellent,True,True,True,False,True,True,False,True,True,False,True,False,True,False,True,True
skoda superbe a vendre,"Plateau, Safi",205 000 DH,2019,Automatique,Diesel,130 000 - 139 999,Skoda,Superb,5.0,WW au Maroc,Oui,8 CV,Excellent,True,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True
Toyota auris,"Abdelmoumen, Casablanca",85 000 DH,2008,Manuelle,Diesel,45 000 - 49 999,Toyota,Auris,5.0,WW au Maroc,Oui,5 CV,Très bon,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
vente de skoda rapide model 2015,"Av Mohammed VI, Marrakech",130 000 DH,2015,Manuelle,Diesel,95 000 - 99 999,Skoda,Rapid,5.0,WW au Maroc,Oui,6 CV,Très bon,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True
Renault Clio 2,"Mont Fleuri 2, Fès",49 000 DH,2007,Manuelle,Essence,180 000 - 189 999,Renault,Clio,5.0,WW au Maroc,Non,6 CV,Très bon,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True
Corolla millinuim 208,"Errahma, Casablanca",60 000 DH,2008,Automatique,Diesel,250 000 - 299 999,Toyota,Corolla,5.0,,,8 CV,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
kia picanto,"El Haddada, Kénitra",53 000 DH,2008,Manuelle,Essence,180 000 - 189 999,Kia,Picanto,5.0,WW au Maroc,Non,6 CV,Très bon,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
BMW Série 3 Diesel Automatique 2015 à Casablanca,"Californie, Casablanca",249 000 DH,2015,Automatique,Diesel,140 000 - 149 999,BMW,Série 3,5.0,Dédouanée,Oui,7 CV,Très bon,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
بيع ميرسيديس,"Toute la ville, Béni Mellal",85 000 DH,2004,Automatique,Diesel,25 000 - 29 999,Mercedes-Benz,220,5.0,Dédouanée,Non,9 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kia,"Al Wifaq, Agadir",30 000 DH,2004,Manuelle,Essence,30 000 - 34 999,Kia,Rio,5.0,Dédouanée,Non,7 CV,Excellent,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Fiat Tipo Diesel Manuelle 2019 à Casablanca,"Sidi Moumen, Casablanca",95 001 DH,2019,Manuelle,Diesel,0 - 4 999,Fiat,Tipo,5.0,WW au Maroc,Oui,5 CV,Excellent,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True
touareg v6 2019 diesel,"Ain Sebaa, Casablanca",267 000 DH,2019,Manuelle,Diesel,110 000 - 119 999,Volkswagen,Touareg,5.0,WW au Maroc,Non,12 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Peugeot 208 coupée,"Hay Riad, Rabat",100 000 DH,2013,Manuelle,Essence,150 000 - 159 999,Peugeot,208,3.0,WW au Maroc,,9 CV,Très bon,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True
Volkswagen Touareg Diesel Automatique 2010,"Anfa, Casablanca",85 000 DH,2010,Automatique,Diesel,250 000 - 299 999,Volkswagen,Touareg,5.0,Pas encore dédouanée,Non,12 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Toyota Corolla Diesel Manuelle 2010 à Tétouan,"Wilaya, Tétouan",100 000 DH,2010,Manuelle,Diesel,300 000 - 349 999,Toyota,Corolla,5.0,WW au Maroc,,6 CV,Très bon,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
